"","site","upper","lower","PD","mean","CI_lower","CI_upper"
"1","all","alpha_all","alpha",0.933,-28.9867149151739,-63.813329949891,10.6645302607552
"2","A","alpha_all","alpha_site",0.945027777777778,-32.0415629961654,-70.162405072111,9.03731165154372
"3","B","alpha_all","alpha_site",0.930527777777778,-30.7420275992924,-67.6416159835181,12.7952636995406
"4","C","alpha_all","alpha_site",0.896611111111111,-24.8238855055754,-61.5577457697886,17.3507188041978
"5","D","alpha_all","alpha_site",0.923638888888889,-27.9744329103307,-63.6301473456337,12.1497967546686
"6","E","alpha_all","alpha_site",0.932194444444444,-29.7003846414935,-65.1787120270701,11.0925449893316
"7","all","beta_all","beta_mass",0.696166666666667,0.553694910675001,-2.11575596901718,2.8634199745896
"8","A","beta_all","beta_mass_site",0.716583333333333,0.686742070853634,-1.96994582593978,3.19078257689577
"9","B","beta_all","beta_mass_site",0.6245,0.320075496342063,-2.54421922701236,2.70800687453892
"10","C","beta_all","beta_mass_site",0.777083333333333,0.914261683969143,-1.6895370426772,3.29394452320931
"11","D","beta_all","beta_mass_site",0.6825,0.565853855562233,-2.1650472573825,3.03732041815892
"12","E","beta_all","beta_mass_site",0.618972222222222,0.308512226515737,-2.55461203684863,2.76457671567928
