"site","species","upper","lower","PD","mean","CI_lower","CI_upper"
"all","all","alpha_all","alpha",0.537694444444444,0.844650527255382,-18.7855926550753,20.69958611325
"A","all","alpha_all","alpha_site",0.58525,1.79163206551072,-14.9684528064897,18.6244340534244
"B","all","alpha_all","alpha_site",0.500611111111111,0.00192161599159406,-16.9324611473099,16.8093108065484
"C","all","alpha_all","alpha_site",0.548416666666667,0.952006498049048,-16.2590501359063,18.0124369060537
"D","all","alpha_all","alpha_site",0.554611111111111,1.08985404194051,-15.7927026797301,17.8475028845744
"E","all","alpha_all","alpha_site",0.5115,0.301852780359644,-16.5631694429496,17.1492184467286
"A","s1","alpha_site","alpha_species",0.991694444444444,5.0991085635831,0.888048417268659,9.34122133606342
"B","s1","alpha_site","alpha_species",0.70025,-1.16347143480364,-5.54305862290807,3.2741423121807
"C","s1","alpha_site","alpha_species",0.525388888888889,-0.201869425209416,-6.47461454043614,6.1231068825913
"D","s1","alpha_site","alpha_species",0.790444444444444,1.91464484560124,-2.73600895826697,6.51625444134814
"E","s1","alpha_site","alpha_species",0.671083333333333,0.992362241860807,-3.44263757207131,5.37183136577028
"A","s2","alpha_site","alpha_species",0.650777777777778,0.779076507068297,-3.2558494359479,4.79917954549701
"B","s2","alpha_site","alpha_species",0.838305555555556,2.0917556591996,-2.04787737976938,6.2028630621969
"C","s2","alpha_site","alpha_species",0.523166666666667,-0.155588993406041,-5.08727988670189,4.82527761855884
"D","s2","alpha_site","alpha_species",0.760722222222222,1.5298253388581,-2.71222485203887,5.75101838828944
"E","s2","alpha_site","alpha_species",0.694194444444444,-1.64202674531735,-7.98383950405588,4.6772447681368
"A","s3","alpha_site","alpha_species",0.615055555555556,0.63302103609317,-3.80790027039635,5.00589517633937
"B","s3","alpha_site","alpha_species",0.741611111111111,-2.05405300151254,-8.30967020767309,4.15608443631056
"C","s3","alpha_site","alpha_species",0.815166666666667,3.54439637419347,-4.22025546358849,11.2574438730182
"D","s3","alpha_site","alpha_species",0.502805555555556,-0.0195419832166185,-3.37545587833875,3.30886692652728
"E","s3","alpha_site","alpha_species",0.620333333333333,0.852876854444995,-4.50754344458959,6.2270236844839
"all","all","beta_all","beta_mass",0.996333333333333,2.00624675209583,0.758089879039388,3.2493980091439
"A","all","beta_all","beta_mass_site",1,3.20960445911307,1.92011218747066,4.40979058756968
"B","all","beta_all","beta_mass_site",1,2.70535004256308,1.57694463498728,3.82709357756093
"C","all","beta_all","beta_mass_site",0.999611111111111,2.02053618399785,0.931541179399478,3.10107358750591
"D","all","beta_all","beta_mass_site",0.999027777777778,1.8832269573543,0.804750291243372,2.96919920350653
"E","all","beta_all","beta_mass_site",0.596805555555556,0.220994657575316,-1.10575975284229,1.8187492332035
"A","s1","beta_mass_site","beta_mass_species",1,4.8123669148248,4.54547350777374,5.07786560764413
"B","s1","beta_mass_site","beta_mass_species",1,4.00293642105659,3.72646937669146,4.27352885979487
"C","s1","beta_mass_site","beta_mass_species",1,2.81866829258895,2.42716569320714,3.20723447616021
"D","s1","beta_mass_site","beta_mass_species",1,2.43317241772098,2.12178760059967,2.74877521630086
"E","s1","beta_mass_site","beta_mass_species",1,-0.69260525977671,-0.964693169621533,-0.418826134037285
"A","s2","beta_mass_site","beta_mass_species",1,1.37036033512087,1.11648412007575,1.62798979408632
"B","s2","beta_mass_site","beta_mass_species",1,0.995729447039184,0.745217479291178,1.24715513995128
"C","s2","beta_mass_site","beta_mass_species",1,0.822617597387241,0.479359108134007,1.16339187029803
"D","s2","beta_mass_site","beta_mass_species",1,0.648968761104773,0.351093931769962,0.945707946294582
"E","s2","beta_mass_site","beta_mass_species",0.572055555555556,-0.0370015707950268,-0.433416595866337,0.361695067221119
"A","s3","beta_mass_site","beta_mass_species",1,4.90419608236103,4.6302239961437,5.17877878774795
"B","s3","beta_mass_site","beta_mass_species",1,3.95846334707934,3.56469436397068,4.3508804023346
"C","s3","beta_mass_site","beta_mass_species",1,2.46053963925604,2.00238118110805,2.92067727581294
"D","s3","beta_mass_site","beta_mass_species",1,2.39518846746175,2.17434631368224,2.6177964729804
"E","s3","beta_mass_site","beta_mass_species",1,-0.762623713882592,-1.0968974121376,-0.42987836956115
